path,bugs,code_smells,reliability_rating,security_hotspots,vulnerabilities,complexity,cognitive_complexity,duplicated_lines,sqale_debt_ratio
/home/ota/metrics_analyze/repos/Monash-Connected-Autonomous-Vehicle/autoware.univer,1,571,3.0,16,1,1830,2118,2339,0.2
/home/ota/metrics_analyze/repos/ShinonomeAkebono/sorter_sensor_kit_laun,0,1,1.0,1,0,14,7,0,0.0
/home/ota/metrics_analyze/repos/ShinonomeAkebono/autoware_launch.sort,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/ShinonomeAkebono/sorter_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/zubxxr/autoware_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/zubxxr/autoware_laun,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/zubxxr/r2_sensor_kit_laun,0,2,1.0,1,0,14,7,0,0.0
/home/ota/metrics_analyze/repos/kobayu858/autoware_laun,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/kobayu858/nebu,0,3,1.0,2,0,26,21,0,0.0
/home/ota/metrics_analyze/repos/kobayu858/tier4_ad_api_adapt,0,1,1.0,0,0,5,0,0,0.2
/home/ota/metrics_analyze/repos/kobayu858/sample_sensor_kit_laun,0,3,1.0,1,0,15,7,0,0.1
/home/ota/metrics_analyze/repos/kobayu858/autoware.univer,1,541,3.0,14,1,1583,1846,2339,0.2
/home/ota/metrics_analyze/repos/ZATiTech/open_plann,0,1,1.0,0,0,,,0,0.1
/home/ota/metrics_analyze/repos/wweizheng/autoware_launch.bupt927_vehic,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/wweizheng/bupt927_vehicle_laun,0,2,1.0,0,0,,,0,1.1
/home/ota/metrics_analyze/repos/wweizheng/bupt927_vehicle_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/wweizheng/bupt927_vehicle_sensor_kit_laun,0,3,1.0,1,0,14,7,0,0.1
/home/ota/metrics_analyze/repos/XRMobility/rslidar_s,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/XRMobility/xrm_imugnss_ros2_driv,5,12,4.0,1,0,47,0,0,0.0
/home/ota/metrics_analyze/repos/XRMobility/xrm_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/XRMobility/xrm_sensor_kit_laun,0,9,1.0,1,0,13,5,0,0.1
/home/ota/metrics_analyze/repos/XRMobility/rslidar_m,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/moreVehicle/more_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/moreVehicle/more_sensor_kit_laun,0,1,1.0,1,0,15,7,0,0.0
/home/ota/metrics_analyze/repos/fixposition/fixposition_gnss_,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/Robicarr-Karsan/ntrip_clie,0,1,1.0,0,0,1,0,0,0.5
/home/ota/metrics_analyze/repos/Robicarr-Karsan/lucid_vision_driv,0,0,1.0,0,0,1,0,0,0.0
/home/ota/metrics_analyze/repos/Robicarr-Karsan/CalibrationToo,7,98,5.0,0,0,1106,663,358,0.1
/home/ota/metrics_analyze/repos/Robicarr-Karsan/clap_b7_driv,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/pingfoo/my_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/pingfoo/my_sensor_kit_laun,0,2,1.0,2,0,22,10,90,0.0
/home/ota/metrics_analyze/repos/pingfoo/my_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/pingfoo/autoware_launch.my_vehic,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/RobotecAI/awsim_sensor_kit_laun,0,6,1.0,0,0,11,3,0,0.3
/home/ota/metrics_analyze/repos/OBIGOGIT/obigo.goasp.autoware.univer,1,571,3.0,16,1,1830,2118,2339,0.2
/home/ota/metrics_analyze/repos/OBIGOGIT/obigo.goasp.autoware_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/OBIGOGIT/obigo.goasp.autoware.co,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/OBIGOGIT/obigo.goasp.autoware_laun,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/ANYbotics/grid_m,0,28,1.0,0,0,11,23,0,1.3
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware_adapi_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware_laun,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/tamagawa_imu_driv,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/ndt_o,0,0,1.0,16,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/tier4_ad_api_adapt,0,1,1.0,0,0,5,0,0,0.2
/home/ota/metrics_analyze/repos/HelloWorldRobotics/heapho,0,2,1.0,0,0,11,28,0,0.9
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware_comm,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/muS,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware.co,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/sample_sensor_kit_laun,0,9,1.0,1,0,13,5,0,0.1
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/MORAI-ROS2_morai_ms,0,2,1.0,0,0,,,0,1.9
/home/ota/metrics_analyze/repos/HelloWorldRobotics/awf_velody,0,5,1.0,0,0,30,87,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/sensor_component_descripti,0,1,1.0,0,0,1,0,0,0.1
/home/ota/metrics_analyze/repos/HelloWorldRobotics/pointcloud_to_lasersc,0,1,1.0,0,0,2,0,0,0.1
/home/ota/metrics_analyze/repos/HelloWorldRobotics/rtklib_ros_brid,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/eagle,0,49,1.0,0,0,226,325,205,0.5
/home/ota/metrics_analyze/repos/HelloWorldRobotics/tier4_autoware_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware_auto_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/pacmod_interfa,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/autoware.univer,3,464,3.0,14,1,1374,1464,1803,0.2
/home/ota/metrics_analyze/repos/HelloWorldRobotics/llh_convert,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/HelloWorldRobotics/awsim_sensor_kit_laun,0,5,1.0,0,0,12,4,0,0.2
/home/ota/metrics_analyze/repos/cavas-ub/dataspeed_dbw_interfa,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/RoboSense-LiDAR/rslidar_m,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/Box-Robotics/ros2_num,0,25,1.0,0,0,105,85,0,0.5
/home/ota/metrics_analyze/repos/leo-drive/tutorial_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/nebu,0,6,1.0,3,0,95,106,0,0.1
/home/ota/metrics_analyze/repos/leo-drive/golf_sensor_kit_laun,0,1,1.0,1,0,16,5,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/golf_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/golf_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/autoware.universe.go,1,106,3.0,11,1,777,565,1765,0.1
/home/ota/metrics_analyze/repos/leo-drive/rslidar_s,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/autoware_launch.tutorial_vehic,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/tutorial_vehicle_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/rviz_2d_overlay_plugi,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/autoware_bag_record,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/leo_vehicle_interfa,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/tutorial_vehicle_sensor_kit_laun,0,2,1.0,1,0,18,7,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/autoware_launch.go,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/leo-drive/sbg_ros2_driv,0,2,1.0,0,0,2,0,0,0.5
/home/ota/metrics_analyze/repos/leo-drive/arena_came,0,1,1.0,0,0,2,0,0,0.2
/home/ota/metrics_analyze/repos/lionator/vwp_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/lionator/ros2_ouster_drive,0,2,1.0,0,0,2,0,82,0.0
/home/ota/metrics_analyze/repos/lionator/vwp_interfa,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/agilexrobotics/ugv_s,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/agilexrobotics/hunter_ro,0,0,1.0,0,0,1,0,0,0.0
/home/ota/metrics_analyze/repos/MORAI-Autonomous/MORAI-ROS2_morai_ms,0,2,1.0,0,0,,,0,1.9
/home/ota/metrics_analyze/repos/skill121790/pacifica_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/skill121790/pacifica_vehicle_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/skill121790/autoware_launch.pacifica_vehic,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/skill121790/pacifica_sensor_kit_laun,0,3,1.0,1,0,14,7,0,0.1
/home/ota/metrics_analyze/repos/iASL-Gifu/canedudev_rover_vehicle_int,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/iASL-Gifu/canedudev_rover_vehicle_,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/iASL-Gifu/canedudev_rover_autoware_,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/iASL-Gifu/canedudev_rover_individual_,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/iASL-Gifu/canedudev_rover_sensor_kit_,0,2,1.0,1,0,14,7,0,0.0
/home/ota/metrics_analyze/repos/ros-perception/vision_open,0,83,1.0,5,0,200,134,38,0.9
/home/ota/metrics_analyze/repos/ros-perception/image_pipeli,7,83,5.0,23,0,481,556,72,0.4
/home/ota/metrics_analyze/repos/ros-perception/image_comm,0,2,1.0,0,0,7,5,0,0.3
/home/ota/metrics_analyze/repos/mlab-upenn/gokart-autoware.un,428,3476,5.0,48,1,3628,3268,8928,0.7
/home/ota/metrics_analyze/repos/IUTSmartMining/autoware_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/IUTSmartMining/sample_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/IUTSmartMining/autoware_laun,0,0,1.0,0,0,4,0,0,0.0
/home/ota/metrics_analyze/repos/IUTSmartMining/sample_vehicle_launch_prototy,0,0,1.0,0,0,,,0,0.0
